0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
269,110,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,111,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,112,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,113,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,114,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,115,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,116,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,117,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,118,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,119,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,120,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,121,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,123,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,124,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,125,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,126,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,127,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,128,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,129,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,130,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,131,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,132,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,133,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,134,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,135,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,114,128,5,128,270,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,121,121,114,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,122,114,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,127,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,127,128,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,122,128,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,125,117,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,6,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,5,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,12,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,7,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,9,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,10,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
